time,open,high,low,close,tick_volume,spread,real_volume,returns,atr,rsi,ema_fast,ema_slow,vwap,signal,stop_loss,take_profit_1,take_profit_2,position,strategy_returns,cumulative,total_commission
2025-08-27 10:00:00,3377.44,3378.17,3374.16,3374.58,888,6,0,-0.0008615865628025521,2.8535714285714806,31.64498141263995,3381.9131184896232,3380.3277707418492,3380.7803075234847,buy,3371.7264285714286,3376.862857142857,3379.1457142857143,0.0,0.0,1.0026170409733932,
2025-08-27 10:15:00,3374.55,3376.5,3373.81,3375.04,864,17,0,0.0001363132597240746,2.8564285714286535,36.09731876862042,3381.643584431207,3380.2751561076025,3380.716087335022,hold,,,,0.0,0.0,1.0026170409733932,
2025-08-27 10:30:00,3375.04,3378.19,3374.43,3378.11,959,15,0,0.0009096188489619017,2.960000000000101,46.639603067208576,3381.5050124927284,3380.253612265736,3380.6687800905524,hold,,,,0.0,0.0,1.0026170409733932,
2025-08-27 10:45:00,3378.13,3381.59,3377.73,3381.48,968,15,0,0.000997599249284331,3.062857142857248,58.99311531841573,3381.5040316106606,3380.2658151287637,3380.6637976806105,hold,,,,0.0,0.0,1.0026170409733932,
2025-08-27 11:00:00,3381.44,3383.87,3381.02,3382.11,1050,11,0,0.00018630895347593324,3.0478571428572456,66.51205936920238,3381.527795076909,3380.2841652269854,3380.685938944603,hold,,,,0.0,0.0,1.0026170409733932,
2025-08-27 11:15:00,3382.12,3384.99,3382.12,3384.26,942,11,0,0.0006356978336008456,3.108571428571492,69.54871362294405,3381.6349403680106,3380.3237257719907,3380.7224363423034,hold,,,,0.0,0.0,1.0026170409733932,
2025-08-27 11:30:00,3384.3,3384.55,3381.79,3383.56,892,14,0,-0.00020683990000780472,3.160714285714351,68.33816825528257,3381.7104329025983,3380.3559275056027,3380.75081856113,hold,,,,0.0,0.0,1.0026170409733932,
2025-08-27 11:45:00,3383.64,3384.7,3382.93,3384.53,710,10,0,0.0002866803012213648,3.059285714285774,68.3119037743668,3381.8210041613197,3380.3974605652484,3380.779512184178,hold,,,,0.0,0.0,1.0026170409733932,
2025-08-27 12:00:00,3384.55,3385.44,3383.78,3384.65,789,15,0,3.5455439898468555e-05,2.9592857142857674,65.6165616561646,3381.931945174601,3380.43977439047,3380.816269973053,hold,,,,0.0,0.0,1.0026170409733932,
2025-08-27 12:15:00,3384.66,3384.93,3382.47,3382.57,857,5,0,-0.0006145391694857283,2.9192857142857713,61.28625472887778,3381.9569669324596,3380.4609706651922,3380.8420431281293,hold,,,,0.0,0.0,1.0026170409733932,
2025-08-27 12:30:00,3382.4,3383.58,3381.55,3381.76,807,15,0,-0.00023946289359866313,2.8857142857143248,55.307760927743104,3381.9492427390296,3380.473896330215,3380.855989513412,hold,,,,0.0,0.0,1.0026170409733932,
2025-08-27 12:45:00,3381.76,3382.28,3377.62,3378.22,980,5,0,-0.001046792202876734,3.0335714285714794,44.26633785450006,3381.8029979257344,3380.451469501059,3380.8389256732166,hold,,,,0.0,0.0,1.0026170409733932,
2025-08-27 13:00:00,3378.29,3379.17,3376.77,3378.07,1004,14,0,-4.440208156952785e-05,2.9692857142857583,46.243022756548015,3381.6566058502153,3380.4277732871183,3380.8058813379,hold,,,,0.0,0.0,1.0026170409733932,
2025-08-27 13:15:00,3377.63,3378.43,3376.35,3376.5,946,11,0,-0.0004647624235141201,2.8478571428571677,47.80292942743064,3381.454386012952,3380.3886909658536,3380.7655595228543,hold,,,,0.0,0.0,1.0026170409733932,
2025-08-27 13:30:00,3376.48,3378.03,3374.92,3375.86,995,12,0,-0.00018954538723525705,2.7835714285714466,53.1589338598227,3381.2349983261697,3380.3436293642035,3380.714784439703,hold,,,,0.0,0.0,1.0026170409733932,
2025-08-27 13:45:00,3375.85,3377.25,3374.89,3375.55,1101,15,0,-9.182845260169437e-05,2.7600000000000233,51.2680258577827,3381.0120572153396,3380.2959315595845,3380.6553121741777,hold,,,,0.0,0.0,1.0026170409733932,
2025-08-27 14:00:00,3375.73,3377.22,3374.69,3376.76,932,5,0,0.00035846010279816376,2.672142857142847,46.30136986301404,3380.8453098735617,3380.260748160982,3380.609482260613,hold,,,,0.0,0.0,1.0026170409733932,
2025-08-27 14:15:00,3376.77,3376.88,3374.09,3375.26,868,5,0,-0.0004442127956976183,2.5957142857142634,31.01343101343228,3380.6262781138144,3380.2109894728133,3380.559885563994,hold,,,,0.0,0.0,1.0026170409733932,
2025-08-27 14:30:00,3375.3,3375.96,3373.84,3375.0,861,14,0,-7.703110278922676e-05,2.543571428571405,27.79512804497243,3380.40563975641,3380.1591388312927,3380.507146973228,hold,,,,0.0,0.0,1.0026170409733932,
2025-08-27 14:45:00,3374.99,3378.18,3374.93,3376.83,908,5,0,0.0005422222222222217,2.570000000000001,26.322498406628256,3380.265418589492,3380.126013071778,3380.469360325983,buy,3374.2599999999998,3378.886,3380.942,0.6666666666666666,-0.002610209947012665,1.0,
2025-08-27 15:00:00,3376.78,3377.61,3374.43,3376.94,845,15,0,3.25749297418465e-05,2.6000000000000063,28.07947019867639,3380.1350100173554,3380.0943114491733,3380.4319654029277,hold,,,,0.0,-0.0002074406113303784,0.9997925593886696,
2025-08-27 15:15:00,3377.0,3382.87,3376.58,3381.68,1069,6,0,0.001403637612749975,2.922857142857148,42.4483306836238,3380.195597859812,3380.110089444704,3380.431341043517,buy,3378.7571428571428,3384.0182857142854,3386.3565714285714,0.0,0.0,0.9997925593886696,
2025-08-27 15:30:00,3381.72,3382.65,3379.66,3381.37,1125,15,0,-9.167041233937301e-05,3.017857142857175,41.395592864637436,3380.241652845702,3380.12262586814,3380.4406802358976,hold,,,,0.0,0.0,0.9997925593886696,
2025-08-27 15:45:00,3381.39,3382.76,3380.04,3381.13,1038,10,0,-7.097714831560964e-05,3.0364285714286194,45.81881533101025,3380.2764899890076,3380.1326494913424,3380.4499979348034,hold,,,,0.0,0.0,0.9997925593886696,
2025-08-27 16:00:00,3381.4,3384.21,3380.53,3382.36,1061,11,0,0.00036378370544754013,3.154285714285769,51.70068027210859,3380.3581962639482,3380.154812182971,3380.47076915482,hold,,,,0.0,0.0,0.9997925593886696,
2025-08-27 16:15:00,3382.37,3384.82,3381.86,3382.0,988,15,0,-0.00010643456048442523,3.032857142857178,63.070539419088206,3380.4225807241855,3380.1731722607524,3380.4949722593014,hold,,,,0.0,0.0,0.9997925593886696,
2025-08-27 16:30:00,3382.12,3382.12,3377.57,3378.09,1372,9,0,-0.0011561206386753176,3.1864285714285807,50.054884742041665,3380.331106970296,3380.1524441785564,3380.478073053807,hold,,,,0.0,0.0,0.9997925593886696,
2025-08-27 16:45:00,3378.13,3378.56,3375.65,3377.79,1263,5,0,-8.88075806151356e-05,3.2457142857142895,53.80530973451321,3380.231455716559,3380.128937271307,3380.4389523640693,hold,,,,0.0,0.0,0.9997925593886696,
