time,open,high,low,close,tick_volume,spread,real_volume,returns,rsi,atr,volatility_ratio,signal,momentum,position_size,stop_loss,take_profit,position,strategy_returns,cumulative,total_commission
2025-10-01 21:45:00,3859.47,3863.88,3859.26,3862.14,1056,5,0,0.0006943976618489778,53.36099585062217,6.713499999999999,1.0071257125712592,hold,NEUTRAL,1.0,,,-1.0,-0.0026799999999997937,0.9973200000000002,
2025-10-01 22:00:00,3862.35,3865.95,3861.39,3865.8,999,11,0,0.0009476611412326807,51.67669819432511,6.527999999999997,0.9821858449687066,buy,BULLISH,1.0,3856.0080000000003,3885.384,-1.0,-0.003669835158224388,0.9936599999999999,
2025-10-01 22:15:00,3865.82,3866.6,3863.59,3864.71,978,5,0,-0.0002819597495991033,44.01122894572661,6.3459999999999805,0.9658468281991961,hold,NEUTRAL,1.0,,,-1.0,0.0010969546927521723,0.99475,
2025-10-01 22:30:00,3864.72,3869.17,3864.1,3869.16,978,6,0,0.0011514447397087402,52.77224907591672,6.3960000000000035,0.9826092300129066,buy,BULLISH,1.0,3859.566,3888.348,-1.0,-0.004473485800452148,0.9903000000000002,
2025-10-01 22:45:00,3869.18,3870.86,3866.27,3867.77,1095,7,0,-0.00035925110359869006,46.05933473179485,5.527500000000009,0.8512489604829543,hold,NEUTRAL,1.0,,,-1.0,0.0014036150661413949,0.9916900000000001,
2025-10-01 23:00:00,3867.81,3867.82,3860.35,3862.26,881,10,0,-0.0014245934996134357,39.12480580010401,5.387000000000012,0.8257204169221359,hold,NEUTRAL,1.0,,,-1.0,0.005556171787554298,0.9971999999999999,
2025-10-01 23:15:00,3862.35,3863.8,3860.88,3863.44,710,7,0,0.00030552060192734487,40.60131379484569,5.023000000000025,0.789283469516032,hold,BEARISH,1.0,,,-1.0,-0.0011833132771759125,0.99602,
2025-10-01 23:30:00,3863.46,3865.14,3862.9,3863.59,646,13,0,3.8825502660877476e-05,41.87967983475338,4.726000000000022,0.7611041324443626,hold,BEARISH,1.0,,,-1.0,-0.00015059938555461727,0.9958699999999999,
2025-10-01 23:45:00,3863.76,3865.75,3863.21,3865.49,677,11,0,0.0004917706071294603,43.328298086605905,4.54050000000002,0.7429071631925169,hold,BEARISH,1.0,,,-1.0,-0.0019078795425101491,0.9939700000000002,
2025-10-02 01:00:00,3867.81,3870.33,3860.95,3863.03,877,14,0,-0.0006364005598253897,48.36987071388437,4.583000000000038,0.7411779926901129,hold,BEARISH,1.0,,,-1.0,0.002474923790455996,0.9964299999999998,
2025-10-02 01:15:00,3863.08,3863.56,3858.75,3860.09,615,10,0,-0.0007610606182193447,48.961593172119436,4.624000000000024,0.7440303790950676,hold,BEARISH,1.0,,,-1.0,0.0029505334042532194,0.9993699999999999,
2025-10-02 01:30:00,3860.67,3862.83,3859.26,3862.74,671,14,0,0.0006865124906412223,54.011422355180756,4.70150000000001,0.75594108756472,hold,NEUTRAL,1.0,,,-1.0,-0.002651670552447638,0.9967200000000003,
2025-10-02 01:45:00,3862.72,3864.1,3861.7,3862.15,495,14,0,-0.00015274131833875604,48.78548434299097,4.716000000000031,0.7761940814378417,hold,BEARISH,1.0,,,-1.0,0.0005919415683439677,0.9973099999999999,
2025-10-02 02:00:00,3862.16,3864.46,3861.58,3862.47,698,14,0,8.285540437302785e-05,54.859541491766166,4.720000000000027,0.788664617029814,hold,NEUTRAL,1.0,,,-1.0,-0.00032086312179735454,0.9969900000000003,
2025-10-02 02:15:00,3862.43,3866.61,3861.82,3865.68,651,15,0,0.0008310744161119654,55.61904761904789,4.812000000000035,0.8079247817327132,buy,BULLISH,1.0,3858.462,3880.116,-1.0,-0.003219691270724967,0.9937800000000002,
2025-10-02 02:30:00,3865.69,3866.05,3857.48,3860.91,907,5,0,-0.001233935555969401,42.50229990800268,4.86850000000004,0.8048970009589066,hold,NEUTRAL,1.0,,,-1.0,0.0047998550987140565,0.9985500000000002,
2025-10-02 02:45:00,3860.7,3865.21,3860.7,3863.45,876,5,0,0.0006578759929654066,48.150322959482814,4.880000000000041,0.8033715264059063,hold,NEUTRAL,1.0,,,-1.0,-0.0025436883481047,0.9960100000000002,
2025-10-02 03:00:00,3862.95,3863.76,3857.61,3858.43,1093,7,0,-0.0012993567925041472,34.50765232457307,4.884000000000038,0.7947149179901123,hold,BEARISH,1.0,,,-1.0,0.005040110039055801,1.0010300000000003,
2025-10-02 03:15:00,3858.39,3860.78,3856.37,3857.94,1010,14,0,-0.00012699465844911995,35.42840201600862,4.834500000000048,0.7840068759730224,hold,BEARISH,1.0,,,-1.0,0.0004894958193057963,1.00152,
